,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.75681, 1.14321]","[0.77551, 1.29072]","[0.79422, 1.43822]","[0.78086, 1.33286]","[0.7675, 1.2275]","[0.75414, 1.12214]","[0.74078, 1.01678]","[0.72742, 0.91142]","[0.71406, 0.80606]","[0.7007, 0.7007]","[0.7194, 0.8482]","[0.7381, 0.99571]"
"[25, 30]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[30, 35]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[35, 40]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[40, 45]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[45, 50]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[50, 55]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[55, 60]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[60, 65]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[65, 70]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[70, 75]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.119, 0.119]","[0.0, 50.0]"
