,[1, 1],[2, 2],[3, 3],[4, 4],[5, 5],[6, 6],[7, 7],[8, 8],[9, 9],[10, 10],[11, 11],[12, 12]
[15, 25],[8.02, 8.15],[8.06, 8.08],[8.05, 8.08],[8.02, 8.12],[7.96, 8.19],[8.01, 8.12],[8.01, 8.09],[7.99, 8.10],[7.98, 8.10],[8.02, 8.10],[8.06, 8.10],[8.07, 8.11]
[25, 35],[8.06, 8.12],[8.07, 8.10],[8.05, 8.10],[8.06, 8.09],[8.02, 8.14],[8.02, 8.14],[8.03, 8.12],[7.96, 8.17],[7.98, 8.14],[8.03, 8.11],[8.06, 8.11],[8.07, 8.11]
[35, 45],[8.05, 8.12],[8.07, 8.11],[8.04, 8.13],[8.06, 8.11],[8.04, 8.13],[8.03, 8.15],[7.97, 8.22],[8.04, 8.15],[8.00, 8.18],[8.03, 8.13],[8.04, 8.12],[8.06, 8.11]
[45, 55],[8.00, 8.17],[8.06, 8.10],[8.00, 8.16],[8.07, 8.09],[8.05, 8.12],[8.03, 8.15],[7.94, 8.24],[8.04, 8.14],[8.00, 8.17],[8.03, 8.14],[8.05, 8.12],[8.06, 8.11]
[55, 65],[8.02, 8.15],[8.05, 8.11],[8.00, 8.14],[8.05, 8.10],[8.04, 8.12],[8.01, 8.17],[8.06, 8.10],[8.03, 8.12],[7.99, 8.14],[7.99, 8.14],[8.03, 8.12],[8.04, 8.13]
[65, 75],[7.95, 8.19],[8.04, 8.10],[7.96, 8.17],[8.03, 8.11],[8.04, 8.11],[8.06, 8.11],[8.05, 8.10],[8.02, 8.10],[7.97, 8.12],[7.91, 8.17],[8.00, 8.09],[7.95, 8.17]
[75, 85],[7.85, 8.22],[7.93, 8.16],[7.89, 8.21],[7.99, 8.13],[8.02, 8.12],[7.98, 8.16],[7.92, 8.20],[7.97, 8.11],[7.90, 8.14],[7.83, 8.20],[7.97, 8.07],[7.91, 8.15]
[85, 95],[7.77, 8.25],[7.82, 8.20],[7.86, 8.17],[7.90, 8.16],[7.97, 8.13],[7.97, 8.15],[8.02, 8.08],[7.93, 8.12],[7.82, 8.18],[7.76, 8.22],[7.94, 8.05],[7.87, 8.15]
[95, 105],[7.75, 8.22],[7.74, 8.19],[7.75, 8.17],[7.84, 8.12],[7.92, 8.11],[7.88, 8.18],[7.95, 8.09],[7.85, 8.13],[7.72, 8.20],[7.63, 8.29],[7.89, 8.07],[7.81, 8.17]
[105, 115],[7.71, 8.19],[7.72, 8.13],[7.77, 8.06],[7.81, 8.06],[7.89, 8.05],[7.90, 8.08],[7.91, 8.06],[7.86, 8.06],[7.65, 8.23],[7.59, 8.30],[7.86, 8.07],[7.78, 8.16]
[115, 150],[7.65, 8.13],[7.69, 8.04],[7.64, 8.05],[7.72, 7.98],[7.81, 7.97],[7.79, 8.04],[7.85, 7.99],[7.73, 8.06],[7.57, 8.17],[7.47, 8.27],[7.71, 8.06],[7.64, 8.16]
[150, 195],[7.62, 8.01],[7.64, 7.95],[7.67, 7.90],[7.64, 7.95],[7.70, 7.94],[7.73, 7.95],[7.63, 8.05],[7.73, 7.93],[7.59, 8.03],[7.57, 8.05],[7.71, 7.93],[7.65, 8.00]
